Age,Age_Group,Gender,Education_Level,Preferred_Study_Time,Learning_Goal,Language_Preference,Prefers_Diagrams,Likes_Listening,Enjoys_Reading,HandsOn_Activities,Remembers_Pictures,Prefers_Lectures,Writes_Notes,Builds_Models,Watches_Videos,Participates_Discussions,Reads_Textbooks,Does_Experiments,Draws_Mindmaps,Listens_MusicWhileStudying,Moves_WhileLearning,Style
18,Teen,Female,High School,Evening,Skill Development,Other,1,3,1,3,2,1,3,5,2,2,3,4,3,3,4,Kinesthetic
12,Child,Male,Primary School,Evening,Career Growth,English,1,2,1,4,2,1,3,4,2,1,1,3,3,2,4,Kinesthetic
21,Young Adult,Other,PhD,Night,Skill Development,Gujarati,5,2,3,5,4,5,2,4,4,4,4,4,4,3,1,Visual
18,Teen,Other,Postgraduate,Night,Exams,Hindi,1,4,5,2,1,1,5,1,1,3,5,2,4,2,1,Read/Write
32,Adult 30+,Male,Undergraduate,Morning,Hobby,Gujarati,1,5,2,1,1,5,3,3,5,4,2,2,2,5,2,Auditory
19,Teen,Male,PhD,Morning,Career Growth,Other,1,5,2,3,1,2,2,5,2,3,2,3,1,3,5,Kinesthetic
17,Teen,Male,High School,Evening,Hobby,English,2,3,5,1,3,2,3,2,5,2,5,2,2,4,1,Read/Write
30,Adult 30+,Male,High School,Morning,Skill Development,English,4,4,4,1,1,4,3,1,2,5,2,2,1,5,3,Auditory
11,Child,Other,Primary School,Night,Career Growth,English,4,4,3,4,1,3,2,1,3,5,3,2,4,5,5,Auditory
37,Adult 30+,Other,PhD,Night,Hobby,Other,2,2,2,4,5,3,1,5,3,3,2,5,1,5,4,Kinesthetic
37,Adult 30+,Other,Primary School,Night,Hobby,Hindi,1,1,1,5,1,1,1,5,4,2,2,4,2,1,3,Kinesthetic
16,Teen,Female,High School,Morning,Exams,English,2,5,2,5,1,5,5,4,4,4,3,3,1,3,2,Auditory
29,Young Adult,Other,Postgraduate,Afternoon,Hobby,Gujarati,1,3,5,1,2,2,4,4,5,4,5,3,1,2,1,Read/Write
10,Child,Male,PhD,Morning,Exams,Other,1,3,1,5,2,2,2,5,3,1,2,4,1,3,4,Kinesthetic
32,Adult 30+,Female,Postgraduate,Morning,Career Growth,Hindi,1,1,5,3,3,1,5,2,1,1,5,1,3,5,2,Read/Write
33,Adult 30+,Female,Undergraduate,Morning,Exams,Gujarati,3,3,1,1,5,3,1,3,5,2,2,2,4,1,5,Visual
40,Adult 30+,Other,Undergraduate,Afternoon,Hobby,Other,1,3,4,2,2,2,5,5,1,3,5,2,4,5,1,Read/Write
23,Young Adult,Other,High School,Morning,Exams,Other,2,1,4,2,1,4,4,3,1,1,4,5,1,1,2,Read/Write
22,Young Adult,Other,Postgraduate,Morning,Skill Development,Other,2,4,5,1,3,5,2,3,3,3,2,2,3,5,3,Auditory
27,Young Adult,Other,Primary School,Night,Hobby,Gujarati,4,2,2,4,4,1,4,1,4,1,3,1,4,2,5,Visual
12,Child,Male,Primary School,Evening,Career Growth,Gujarati,4,2,2,1,5,3,5,4,3,2,3,1,4,1,2,Visual
19,Teen,Female,Undergraduate,Night,Exams,Hindi,1,2,4,3,5,3,5,2,2,1,4,2,1,1,4,Read/Write
37,Adult 30+,Male,Undergraduate,Evening,Career Growth,Hindi,1,5,3,3,4,3,5,5,2,3,4,1,2,2,4,Read/Write
35,Adult 30+,Female,Primary School,Night,Skill Development,Other,4,4,2,4,5,1,4,1,3,4,1,2,3,1,1,Visual
26,Young Adult,Female,High School,Morning,Exams,Gujarati,1,4,4,4,2,1,1,4,2,4,4,5,3,2,5,Kinesthetic
33,Adult 30+,Male,Primary School,Evening,Career Growth,Hindi,1,3,3,3,1,2,4,1,2,1,3,1,3,1,1,Read/Write
36,Adult 30+,Female,High School,Morning,Career Growth,Other,2,2,3,3,4,5,4,4,2,4,5,3,1,5,4,Kinesthetic
33,Adult 30+,Female,Undergraduate,Night,Skill Development,Gujarati,3,4,2,4,2,1,5,5,2,4,1,5,1,2,4,Kinesthetic
18,Teen,Female,Postgraduate,Afternoon,Hobby,English,2,3,3,5,1,4,1,4,2,3,1,3,2,5,1,Auditory
35,Adult 30+,Other,High School,Morning,Career Growth,Gujarati,5,5,4,2,2,2,5,1,5,4,5,3,1,2,5,Read/Write
11,Child,Female,High School,Evening,Hobby,Gujarati,5,3,1,5,5,1,2,1,5,3,3,3,4,3,1,Visual
31,Adult 30+,Female,Undergraduate,Morning,Skill Development,Gujarati,1,5,4,1,3,4,3,1,1,2,3,1,1,1,2,Read/Write
14,Teen,Male,PhD,Afternoon,Skill Development,English,1,3,3,2,1,5,3,2,3,4,3,1,3,3,2,Auditory
36,Adult 30+,Other,Undergraduate,Afternoon,Career Growth,Hindi,3,2,4,1,2,2,4,1,5,5,5,3,2,2,1,Read/Write
15,Teen,Other,Postgraduate,Evening,Exams,Hindi,5,1,4,3,3,5,2,4,1,2,1,4,5,3,4,Kinesthetic
14,Teen,Female,Postgraduate,Afternoon,Skill Development,Other,5,2,3,3,5,1,5,1,4,4,4,4,3,5,1,Visual
19,Teen,Other,Postgraduate,Morning,Career Growth,Other,2,5,2,1,2,5,1,5,3,4,2,4,1,3,5,Auditory
29,Young Adult,Other,Primary School,Morning,Skill Development,Other,2,1,3,4,2,4,4,4,1,1,2,5,2,2,5,Kinesthetic
19,Teen,Female,Undergraduate,Afternoon,Skill Development,Hindi,2,3,1,2,2,5,1,1,1,4,3,4,1,4,4,Auditory
30,Adult 30+,Male,Primary School,Afternoon,Hobby,Gujarati,3,3,3,1,3,4,3,1,3,5,5,2,2,5,2,Auditory
26,Young Adult,Male,PhD,Night,Skill Development,Hindi,4,1,1,4,2,4,2,3,1,3,3,5,4,2,4,Kinesthetic
24,Young Adult,Male,Undergraduate,Afternoon,Hobby,English,1,1,5,4,4,1,1,4,2,3,2,4,2,3,4,Kinesthetic
25,Young Adult,Female,High School,Evening,Hobby,English,3,5,4,1,2,3,4,4,4,1,3,2,1,2,2,Read/Write
34,Adult 30+,Female,High School,Afternoon,Hobby,Other,3,5,1,1,1,5,2,3,2,5,5,1,5,5,2,Auditory
15,Teen,Male,Primary School,Afternoon,Hobby,Hindi,4,1,1,1,4,1,2,3,3,4,2,1,4,3,1,Visual
9,Child,Female,PhD,Afternoon,Hobby,English,3,1,3,3,1,1,1,4,2,1,4,5,5,5,4,Kinesthetic
39,Adult 30+,Male,PhD,Evening,Exams,English,5,1,3,5,4,2,2,5,2,1,3,5,3,2,4,Kinesthetic
40,Adult 30+,Female,Postgraduate,Night,Career Growth,Gujarati,1,5,4,3,2,4,2,5,3,2,1,4,2,1,4,Kinesthetic
15,Teen,Male,Undergraduate,Afternoon,Skill Development,Hindi,5,5,2,1,3,3,2,1,3,2,5,2,4,2,3,Visual
11,Child,Male,Undergraduate,Night,Hobby,English,5,3,2,2,5,5,1,4,5,2,3,1,3,3,4,Visual
18,Teen,Female,Primary School,Night,Exams,Hindi,3,4,1,4,2,5,2,2,5,4,3,4,1,4,2,Auditory
32,Adult 30+,Male,Postgraduate,Morning,Exams,Hindi,3,4,4,1,1,4,3,2,2,5,5,1,1,5,1,Read/Write
21,Young Adult,Other,Undergraduate,Morning,Hobby,English,4,3,1,4,4,1,5,1,4,3,5,1,4,3,3,Visual
34,Adult 30+,Female,Undergraduate,Night,Exams,English,2,5,2,3,1,5,1,2,2,5,2,3,1,3,5,Auditory
14,Teen,Female,PhD,Morning,Hobby,English,4,3,1,5,2,2,1,4,2,2,1,5,1,5,4,Kinesthetic
8,Child,Other,Primary School,Morning,Skill Development,Gujarati,3,1,3,3,2,5,5,1,1,2,5,4,1,2,1,Read/Write
39,Adult 30+,Male,PhD,Morning,Career Growth,Hindi,1,2,5,2,2,1,5,5,4,5,4,1,4,3,1,Read/Write
29,Young Adult,Other,PhD,Afternoon,Career Growth,Hindi,5,4,4,2,3,2,3,3,2,2,4,2,5,2,2,Read/Write
11,Child,Female,PhD,Night,Exams,Hindi,1,3,3,5,1,1,2,5,2,4,2,5,3,3,3,Kinesthetic
11,Child,Other,High School,Afternoon,Exams,Gujarati,3,3,5,1,3,4,3,2,4,1,3,5,4,3,4,Visual
18,Teen,Other,Undergraduate,Night,Hobby,Other,5,4,2,1,5,2,2,2,5,2,1,2,4,2,1,Visual
15,Teen,Male,High School,Morning,Skill Development,Hindi,3,2,5,3,5,2,4,2,1,3,4,5,4,1,2,Read/Write
23,Young Adult,Other,PhD,Afternoon,Hobby,Hindi,1,2,4,1,2,1,5,2,2,2,3,3,3,2,2,Read/Write
8,Child,Other,High School,Night,Hobby,Gujarati,3,3,3,5,4,4,1,2,1,3,1,2,1,4,4,Auditory
30,Adult 30+,Male,Postgraduate,Evening,Skill Development,Hindi,1,4,3,2,2,4,3,2,1,4,1,3,5,3,4,Auditory
23,Young Adult,Female,PhD,Morning,Skill Development,English,3,2,5,2,5,5,4,2,2,4,5,3,4,1,2,Read/Write
15,Teen,Female,High School,Afternoon,Hobby,Other,4,1,5,2,5,4,4,5,2,5,5,2,1,2,1,Read/Write
22,Young Adult,Female,High School,Morning,Exams,Other,3,1,2,5,4,1,4,3,1,2,2,3,2,2,4,Kinesthetic
11,Child,Other,High School,Evening,Hobby,Hindi,2,4,3,1,5,5,1,3,2,4,5,5,3,4,3,Auditory
33,Adult 30+,Other,Primary School,Night,Skill Development,Gujarati,4,1,1,2,5,4,3,2,5,5,1,4,5,2,2,Visual
36,Adult 30+,Male,Undergraduate,Morning,Exams,Hindi,2,2,5,5,4,3,5,2,2,4,4,1,2,3,3,Read/Write
29,Young Adult,Female,Postgraduate,Afternoon,Career Growth,Hindi,4,2,2,1,5,5,4,4,5,3,2,2,5,2,5,Visual
17,Teen,Other,Primary School,Night,Career Growth,Hindi,5,2,5,5,3,1,5,5,4,1,4,4,1,2,5,Kinesthetic
22,Young Adult,Female,PhD,Afternoon,Exams,Other,5,3,3,2,5,2,3,1,4,2,1,3,5,3,3,Visual
28,Young Adult,Male,Postgraduate,Morning,Skill Development,English,3,4,3,3,2,4,5,3,1,5,1,2,2,4,2,Auditory
28,Young Adult,Female,Undergraduate,Morning,Skill Development,Other,4,4,2,1,1,3,1,3,2,4,2,4,4,4,2,Auditory
40,Adult 30+,Female,High School,Afternoon,Career Growth,Gujarati,3,3,4,2,3,5,5,3,3,5,4,1,2,1,1,Read/Write
24,Young Adult,Other,Postgraduate,Morning,Skill Development,Hindi,4,2,2,1,4,3,3,1,4,3,4,3,3,2,2,Visual
14,Teen,Male,Postgraduate,Evening,Hobby,English,2,3,4,5,1,4,2,3,1,4,2,1,1,4,2,Auditory
39,Adult 30+,Male,Undergraduate,Morning,Hobby,Other,5,1,2,2,4,1,1,2,3,4,1,4,3,1,1,Visual
15,Teen,Male,Postgraduate,Afternoon,Exams,Gujarati,4,5,3,2,1,4,3,4,1,5,3,2,2,5,5,Auditory
39,Adult 30+,Female,Postgraduate,Evening,Career Growth,Other,1,4,3,3,1,4,1,1,1,5,3,3,2,4,1,Auditory
34,Adult 30+,Male,PhD,Evening,Skill Development,Hindi,3,2,2,2,5,5,2,1,5,3,1,5,5,1,3,Visual
19,Teen,Female,Postgraduate,Morning,Exams,Gujarati,2,5,5,1,5,3,1,1,3,3,1,3,1,5,1,Auditory
30,Adult 30+,Female,Primary School,Morning,Hobby,Hindi,3,3,3,2,5,2,3,2,5,1,5,5,4,2,3,Visual
23,Young Adult,Female,Undergraduate,Afternoon,Exams,Gujarati,4,4,3,2,4,2,3,4,2,3,4,1,1,2,2,Read/Write
23,Young Adult,Male,High School,Night,Skill Development,English,4,2,1,2,4,2,1,1,4,1,1,3,4,1,1,Visual
7,Child,Other,High School,Afternoon,Exams,English,2,3,4,2,3,4,2,5,1,4,1,2,1,4,2,Auditory
18,Teen,Female,Primary School,Night,Exams,English,4,1,3,3,4,4,4,4,5,2,5,2,3,1,1,Visual
24,Young Adult,Female,PhD,Morning,Skill Development,Gujarati,3,1,3,2,4,1,5,1,2,1,5,1,2,1,4,Read/Write
10,Child,Female,PhD,Afternoon,Skill Development,Other,4,1,1,1,4,1,2,5,5,1,4,5,4,2,3,Visual
32,Adult 30+,Male,Primary School,Afternoon,Career Growth,Gujarati,1,1,1,3,2,2,1,4,1,2,1,5,1,1,4,Kinesthetic
20,Young Adult,Male,PhD,Afternoon,Hobby,Gujarati,4,2,2,4,4,1,1,3,1,1,3,3,1,1,4,Kinesthetic
24,Young Adult,Female,PhD,Night,Exams,Gujarati,2,1,1,5,2,1,3,5,1,3,3,4,5,3,4,Kinesthetic
9,Child,Male,Undergraduate,Night,Hobby,English,1,5,3,2,4,4,3,2,5,5,4,2,5,3,3,Read/Write
26,Young Adult,Other,Primary School,Evening,Skill Development,Hindi,5,4,2,4,2,5,1,5,5,2,1,4,3,1,4,Kinesthetic
36,Adult 30+,Other,PhD,Morning,Hobby,English,3,3,3,4,5,5,1,2,5,5,1,3,3,2,5,Visual
19,Teen,Male,Primary School,Morning,Exams,Gujarati,1,2,3,5,5,2,1,5,1,1,2,3,2,3,4,Kinesthetic
32,Adult 30+,Other,Postgraduate,Afternoon,Career Growth,English,2,5,4,3,1,1,3,5,2,1,3,4,3,3,3,Kinesthetic
9,Child,Other,Postgraduate,Morning,Skill Development,Hindi,4,5,1,3,4,3,3,3,5,1,1,5,4,1,3,Visual
12,Child,Other,High School,Afternoon,Exams,Hindi,5,2,1,2,3,1,2,3,5,3,1,5,3,1,4,Visual
17,Teen,Female,Postgraduate,Morning,Hobby,English,1,4,2,3,1,4,2,2,4,5,2,3,2,5,3,Auditory
12,Child,Male,PhD,Morning,Exams,Hindi,4,5,3,1,4,2,1,1,4,1,2,3,5,3,2,Visual
11,Child,Male,Primary School,Night,Skill Development,Hindi,5,5,2,3,1,4,1,2,1,5,5,2,2,5,2,Auditory
33,Adult 30+,Male,High School,Afternoon,Exams,Gujarati,2,5,1,1,3,3,5,5,2,4,3,5,2,5,3,Auditory
36,Adult 30+,Male,PhD,Night,Hobby,Gujarati,2,1,4,2,3,2,5,2,3,3,5,2,1,2,1,Read/Write
16,Teen,Female,Undergraduate,Morning,Exams,Gujarati,4,2,5,4,3,1,3,4,5,3,1,5,3,1,4,Kinesthetic
30,Adult 30+,Male,Primary School,Morning,Skill Development,Other,3,3,5,1,3,2,4,2,2,1,4,1,3,3,1,Read/Write
11,Child,Other,Primary School,Afternoon,Career Growth,English,4,5,1,4,3,3,2,5,2,3,3,3,1,3,5,Kinesthetic
36,Adult 30+,Other,Primary School,Evening,Hobby,Gujarati,2,5,2,2,5,3,3,3,2,5,2,1,1,5,5,Auditory
40,Adult 30+,Male,PhD,Night,Hobby,Hindi,4,5,1,1,5,4,2,4,5,1,2,5,5,2,1,Visual
27,Young Adult,Other,Primary School,Morning,Skill Development,Hindi,3,5,3,1,1,4,4,1,2,3,2,5,3,3,2,Auditory
40,Adult 30+,Female,PhD,Morning,Skill Development,English,2,5,3,2,2,4,2,4,2,5,1,4,1,4,4,Auditory
24,Young Adult,Male,PhD,Afternoon,Hobby,Other,5,5,3,1,1,1,4,5,2,3,3,3,2,1,4,Read/Write
9,Child,Other,Postgraduate,Afternoon,Career Growth,Hindi,5,5,2,2,5,1,3,1,5,3,3,5,3,1,1,Visual
28,Young Adult,Other,High School,Afternoon,Career Growth,Other,3,2,3,1,5,5,2,3,4,2,4,4,3,3,2,Visual
24,Young Adult,Female,High School,Night,Hobby,Other,2,3,3,4,1,1,2,3,1,2,2,4,3,2,5,Kinesthetic
12,Child,Other,Postgraduate,Night,Skill Development,Hindi,1,4,2,1,1,3,1,4,4,3,3,5,4,5,3,Auditory
27,Young Adult,Other,PhD,Afternoon,Skill Development,Hindi,1,1,5,1,1,4,4,3,1,2,4,3,2,2,2,Read/Write
15,Teen,Male,High School,Morning,Skill Development,English,2,3,4,3,2,1,5,4,1,1,3,4,2,3,4,Kinesthetic
9,Child,Female,Primary School,Morning,Skill Development,Hindi,4,2,1,2,5,2,2,3,4,3,4,1,5,1,1,Visual
11,Child,Other,Primary School,Afternoon,Skill Development,English,1,4,2,2,2,3,3,2,3,3,3,4,4,3,1,Auditory
17,Teen,Other,Primary School,Evening,Career Growth,Hindi,1,5,2,4,2,3,1,2,3,3,4,4,1,4,3,Auditory
28,Young Adult,Other,Postgraduate,Afternoon,Career Growth,Hindi,5,2,1,5,5,5,1,1,4,3,4,1,5,1,1,Visual
38,Adult 30+,Male,High School,Morning,Career Growth,Other,3,1,4,2,4,1,1,3,4,3,4,4,5,3,3,Visual
34,Adult 30+,Male,PhD,Evening,Skill Development,Other,1,1,5,3,2,4,4,3,4,3,5,4,2,2,1,Read/Write
39,Adult 30+,Male,Undergraduate,Morning,Exams,English,1,4,1,3,3,4,3,3,3,3,2,4,3,5,1,Auditory
36,Adult 30+,Other,High School,Evening,Hobby,Hindi,3,3,2,1,5,2,2,2,4,2,1,5,4,1,1,Visual
8,Child,Female,Postgraduate,Morning,Skill Development,Gujarati,1,4,2,2,2,5,2,1,1,4,3,1,2,3,2,Auditory
21,Young Adult,Female,Postgraduate,Night,Hobby,English,3,5,1,3,1,1,4,3,2,1,1,5,5,5,5,Kinesthetic
39,Adult 30+,Female,Primary School,Night,Hobby,English,3,1,3,3,4,1,2,2,4,1,1,3,4,3,1,Visual
13,Teen,Female,Postgraduate,Night,Exams,English,2,2,1,4,2,2,4,5,5,3,5,4,1,4,5,Kinesthetic
10,Child,Female,High School,Evening,Exams,Other,4,2,2,5,5,3,1,3,3,2,2,1,5,1,2,Visual
11,Child,Other,Postgraduate,Night,Hobby,English,1,3,1,3,3,5,1,2,1,5,2,5,2,5,1,Auditory
38,Adult 30+,Other,PhD,Night,Career Growth,Gujarati,1,2,3,5,3,4,1,4,1,5,2,3,5,1,4,Kinesthetic
27,Young Adult,Other,Primary School,Evening,Hobby,Other,4,1,4,1,5,1,3,2,2,1,5,2,4,5,1,Read/Write
13,Teen,Female,High School,Evening,Hobby,Gujarati,4,4,1,1,4,2,1,2,5,4,4,2,3,1,2,Visual
36,Adult 30+,Female,Primary School,Afternoon,Hobby,Gujarati,5,5,1,2,3,5,1,3,4,2,2,1,4,4,2,Visual
17,Teen,Other,Primary School,Afternoon,Exams,Hindi,2,1,1,5,3,3,2,4,2,2,2,3,5,2,5,Kinesthetic
7,Child,Male,High School,Afternoon,Career Growth,English,5,4,1,5,1,3,1,5,1,5,2,2,4,4,3,Auditory
36,Adult 30+,Other,Undergraduate,Morning,Skill Development,Gujarati,4,1,1,2,4,1,2,2,5,2,4,4,5,5,1,Visual
30,Adult 30+,Male,Undergraduate,Afternoon,Hobby,Hindi,4,4,4,1,2,5,4,2,1,3,4,1,3,2,2,Read/Write
25,Young Adult,Male,PhD,Evening,Skill Development,Gujarati,2,2,3,1,1,1,4,1,2,2,4,1,4,2,4,Read/Write
16,Teen,Other,PhD,Afternoon,Hobby,English,2,1,3,5,2,3,3,5,3,1,1,4,5,2,3,Kinesthetic
13,Teen,Female,PhD,Evening,Hobby,Hindi,5,1,4,3,5,1,2,4,2,1,1,4,1,1,4,Kinesthetic
27,Young Adult,Female,Undergraduate,Afternoon,Career Growth,Gujarati,1,3,2,2,5,4,1,2,1,5,3,5,1,5,3,Auditory
8,Child,Other,Postgraduate,Morning,Career Growth,English,4,2,2,2,3,1,3,1,4,1,2,2,5,3,3,Visual
18,Teen,Male,PhD,Morning,Career Growth,English,3,2,5,4,1,1,4,2,4,1,5,2,2,2,4,Read/Write
22,Young Adult,Female,Primary School,Night,Skill Development,Gujarati,2,1,2,4,1,2,4,4,2,2,5,4,2,1,4,Kinesthetic
25,Young Adult,Female,High School,Morning,Career Growth,Gujarati,1,2,4,4,3,1,5,3,2,2,4,2,5,3,4,Read/Write
27,Young Adult,Male,Primary School,Afternoon,Career Growth,English,5,3,3,5,5,2,1,2,4,1,3,2,5,5,2,Visual
24,Young Adult,Other,Primary School,Night,Exams,Hindi,3,2,1,3,5,2,1,2,4,3,2,4,5,2,3,Visual
12,Child,Other,Undergraduate,Night,Hobby,Hindi,3,1,1,4,4,1,3,5,3,4,4,1,3,1,5,Visual
20,Young Adult,Male,Undergraduate,Afternoon,Exams,Gujarati,2,3,2,4,3,5,2,1,3,5,3,1,1,4,1,Auditory
19,Teen,Female,Primary School,Evening,Hobby,Other,3,4,1,1,1,4,3,2,2,5,2,1,3,4,1,Auditory
16,Teen,Male,Postgraduate,Morning,Skill Development,English,2,3,5,1,2,1,4,2,1,3,4,2,2,3,5,Read/Write
14,Teen,Other,Undergraduate,Night,Exams,Other,5,2,2,1,4,4,4,5,4,1,1,3,4,1,3,Visual
16,Teen,Female,Undergraduate,Morning,Career Growth,English,3,4,2,5,1,4,5,1,3,5,3,2,2,5,2,Auditory
8,Child,Male,High School,Night,Exams,Hindi,2,1,5,2,3,2,3,2,1,2,4,5,1,2,2,Read/Write
32,Adult 30+,Male,High School,Afternoon,Career Growth,Other,2,3,4,3,2,2,4,1,2,2,5,1,1,4,2,Read/Write
19,Teen,Female,PhD,Morning,Hobby,Other,3,2,4,4,2,4,5,4,2,3,4,3,1,2,1,Read/Write
31,Adult 30+,Female,Undergraduate,Morning,Hobby,Hindi,4,3,2,1,5,3,2,2,3,2,2,3,5,1,2,Visual
36,Adult 30+,Other,Undergraduate,Evening,Hobby,English,5,3,4,2,1,2,4,3,1,2,5,1,5,3,1,Read/Write
17,Teen,Male,High School,Night,Hobby,Other,2,4,2,5,4,5,1,1,1,5,1,3,2,5,4,Auditory
23,Young Adult,Male,High School,Night,Hobby,Other,3,5,5,2,5,2,2,2,4,5,2,2,5,2,2,Visual
35,Adult 30+,Male,Undergraduate,Morning,Career Growth,English,5,3,5,4,2,1,4,1,1,3,3,1,5,5,1,Read/Write
11,Child,Female,High School,Night,Exams,Gujarati,1,4,2,3,1,5,3,1,2,5,1,3,2,4,5,Auditory
9,Child,Female,Undergraduate,Evening,Exams,Hindi,2,5,1,2,3,5,5,1,1,4,2,2,2,5,1,Auditory
16,Teen,Other,PhD,Night,Exams,Other,5,4,5,1,5,1,2,2,5,2,5,2,4,2,5,Visual
12,Child,Male,PhD,Night,Hobby,English,5,2,2,3,4,1,1,1,3,3,2,2,4,2,1,Visual
7,Child,Other,Postgraduate,Evening,Skill Development,Gujarati,4,4,2,3,2,2,2,4,4,1,1,5,5,5,5,Kinesthetic
31,Adult 30+,Male,Primary School,Evening,Skill Development,Gujarati,4,1,4,2,3,5,4,3,2,2,5,2,4,2,1,Read/Write
28,Young Adult,Male,Primary School,Afternoon,Exams,Gujarati,1,3,1,5,1,4,1,5,1,5,5,3,1,1,5,Kinesthetic
7,Child,Male,Postgraduate,Afternoon,Skill Development,English,2,1,5,4,3,3,3,5,3,1,1,4,2,4,4,Kinesthetic
37,Adult 30+,Female,Postgraduate,Afternoon,Hobby,Gujarati,1,1,5,4,4,4,4,1,2,4,3,5,2,1,3,Read/Write
32,Adult 30+,Other,Primary School,Afternoon,Hobby,Gujarati,1,1,5,1,3,2,5,2,1,2,5,2,1,1,2,Read/Write
32,Adult 30+,Male,High School,Afternoon,Career Growth,Hindi,3,1,4,3,3,1,3,2,5,5,3,3,4,2,2,Visual
26,Young Adult,Male,Postgraduate,Night,Exams,Other,2,1,5,3,1,1,5,4,4,5,5,2,1,4,2,Read/Write
34,Adult 30+,Other,Primary School,Night,Skill Development,Hindi,5,4,1,2,4,2,4,4,3,3,1,2,5,3,3,Visual
24,Young Adult,Male,Primary School,Afternoon,Career Growth,Gujarati,2,4,2,5,1,4,1,4,1,3,1,5,1,3,4,Auditory
24,Young Adult,Female,Primary School,Night,Exams,English,4,5,3,5,4,2,5,4,3,1,2,1,3,2,1,Visual
30,Adult 30+,Other,High School,Afternoon,Exams,Other,1,1,2,5,1,1,2,5,2,2,2,5,5,1,5,Kinesthetic
39,Adult 30+,Female,Undergraduate,Afternoon,Exams,Hindi,5,2,2,2,5,3,2,2,5,5,1,1,5,1,1,Visual
20,Young Adult,Female,PhD,Evening,Skill Development,English,2,1,5,1,1,4,5,4,2,5,3,1,2,2,1,Read/Write
36,Adult 30+,Female,Undergraduate,Afternoon,Career Growth,English,1,4,4,4,2,5,4,3,5,2,1,3,2,2,5,Kinesthetic
36,Adult 30+,Other,Undergraduate,Afternoon,Hobby,Gujarati,2,2,3,1,3,3,4,2,2,3,4,3,2,2,1,Read/Write
38,Adult 30+,Male,Postgraduate,Night,Career Growth,English,4,2,4,5,3,1,3,2,4,2,2,3,5,1,4,Visual
17,Teen,Male,Undergraduate,Evening,Exams,Hindi,3,5,3,1,2,5,3,3,3,4,1,2,2,5,1,Auditory
8,Child,Other,High School,Night,Career Growth,English,1,3,2,3,1,1,3,4,3,1,1,3,4,4,5,Kinesthetic
29,Young Adult,Male,PhD,Afternoon,Exams,English,1,5,1,2,5,5,1,1,3,5,5,1,1,5,5,Auditory
30,Adult 30+,Male,Undergraduate,Afternoon,Exams,English,2,4,2,2,5,5,4,1,4,3,2,1,2,5,3,Auditory
25,Young Adult,Other,Undergraduate,Night,Skill Development,English,5,4,4,1,4,2,4,2,3,3,3,1,1,2,3,Read/Write
29,Young Adult,Other,Undergraduate,Night,Hobby,Gujarati,3,2,3,2,1,1,5,5,1,1,5,3,3,2,3,Read/Write
14,Teen,Male,PhD,Afternoon,Exams,Gujarati,3,2,3,1,4,4,5,2,5,3,3,1,4,1,1,Visual
15,Teen,Male,Primary School,Afternoon,Skill Development,English,5,1,3,2,5,4,2,2,4,1,1,2,4,3,2,Visual
33,Adult 30+,Other,Primary School,Night,Exams,English,1,5,2,3,3,3,1,1,4,3,5,3,3,4,3,Auditory
13,Teen,Male,Postgraduate,Evening,Exams,Other,4,3,1,2,4,4,5,1,4,2,5,1,4,3,1,Visual
27,Young Adult,Male,Undergraduate,Evening,Career Growth,Hindi,3,3,4,1,2,4,4,3,3,3,4,1,2,1,2,Read/Write
11,Child,Female,High School,Morning,Career Growth,Hindi,1,3,2,3,5,5,4,3,3,4,3,2,1,3,1,Auditory
10,Child,Other,High School,Afternoon,Exams,Other,2,5,2,4,5,2,4,5,2,1,5,4,5,1,3,Kinesthetic
11,Child,Other,Postgraduate,Afternoon,Skill Development,English,3,3,5,3,3,4,2,1,1,4,2,3,1,3,1,Auditory
32,Adult 30+,Other,Postgraduate,Evening,Career Growth,English,5,2,4,5,2,5,4,1,4,1,5,2,4,1,5,Read/Write
32,Adult 30+,Other,Primary School,Afternoon,Skill Development,Gujarati,3,2,4,5,1,5,4,2,2,3,5,4,4,1,3,Read/Write
25,Young Adult,Female,Undergraduate,Morning,Exams,Hindi,3,3,1,4,3,4,4,5,3,5,5,5,5,2,5,Kinesthetic
14,Teen,Other,High School,Evening,Career Growth,Other,2,2,3,3,3,4,4,5,1,3,2,5,1,2,3,Kinesthetic
36,Adult 30+,Male,High School,Night,Hobby,English,3,1,1,4,3,4,2,5,5,1,2,4,2,2,5,Kinesthetic
16,Teen,Other,Primary School,Morning,Exams,Hindi,3,1,5,1,1,3,4,2,1,2,4,2,1,1,4,Read/Write
28,Young Adult,Male,Primary School,Afternoon,Career Growth,Hindi,4,4,3,4,4,4,5,2,4,2,5,5,4,4,2,Visual
13,Teen,Female,High School,Night,Skill Development,Other,3,1,2,4,4,1,1,4,5,3,2,4,1,3,5,Kinesthetic
22,Young Adult,Male,Postgraduate,Night,Career Growth,English,3,2,5,1,4,1,5,2,2,1,5,3,5,3,2,Read/Write
13,Teen,Male,Postgraduate,Morning,Career Growth,Other,4,3,3,2,4,2,1,2,5,2,3,3,5,2,1,Visual
11,Child,Female,PhD,Afternoon,Exams,Other,2,4,1,3,2,4,1,1,2,3,1,3,2,5,1,Auditory
36,Adult 30+,Female,High School,Morning,Skill Development,Hindi,4,4,3,2,4,3,3,3,3,5,4,3,1,4,4,Auditory
